work_order_id,turnaround_id,unit,discipline,job_type,work_category,on_critical_path,contractor,planned_start,planned_finish,actual_start,actual_finish,planned_hours,actual_hours,crew_size,planned_cost,actual_cost,material_cost_planned,material_cost_actual,material_ready_on_time,rework_flag,safety_standdown_hours,primary_delay_reason
WO-00221,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Inspection,Discovery,Y,Apex Turnaround Services,2022-09-21,2022-09-28,2022-09-22,2022-10-03,128.6118763058819,206.2,8,13748.0,21777.0,1099.0,1497.0,N,N,0.0,Scope Growth / Discovery
WO-00222,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Replacement,Discovery,N,Apex Turnaround Services,2022-09-16,2022-09-22,2022-09-17,2022-09-25,99.9,134.6,4,12713.0,16632.0,1430.0,1430.0,Y,N,0.0,Scope Growth / Discovery
WO-00223,TAR-2022-FCC,Fluid Catalytic Cracker,Insulation,Repair,Planned,N,Northgate Industrial,2022-09-13,2022-09-29,2022-09-13,2022-09-29,218.3,148.6,9,23403.0,18580.0,8299.0,8299.0,Y,N,0.0,On Plan
WO-00224,TAR-2022-FCC,Fluid Catalytic Cracker,Electrical,Cleaning,Planned,N,In-House Maintenance,2022-10-15,2022-11-11,2022-10-16,2022-11-13,263.6,269.8,5,42698.0,43440.0,11172.0,11172.0,Y,N,0.0,On Plan
WO-00225,TAR-2022-FCC,Fluid Catalytic Cracker,Electrical,Repair,Planned,Y,Apex Turnaround Services,2022-10-12,2022-10-24,2022-10-13,2022-10-25,153.39987332579764,149.2,10,26684.0,26165.0,7700.0,7700.0,Y,N,0.0,On Plan
WO-00226,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Repair,Discovery,N,Delta Mechanical Ltd,2022-09-30,2022-10-03,2022-10-01,2022-10-05,44.8,67.1,9,7627.0,10226.0,2406.0,2406.0,Y,N,0.0,Scope Growth / Discovery
WO-00227,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Inspection,Planned,N,Northgate Industrial,2022-09-12,2022-09-18,2022-09-13,2022-09-21,48.2,62.2,13,7627.0,9495.0,2428.0,2786.0,N,N,0.0,Material Delay
WO-00228,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Cleaning,Planned,N,Delta Mechanical Ltd,2022-10-11,2022-10-12,2022-10-11,2022-10-12,17.4,17.2,13,3213.0,3182.0,552.0,552.0,Y,N,0.0,On Plan
WO-00229,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Repair,Planned,N,Sterling TAR Contractors,2022-09-24,2022-09-26,2022-09-25,2022-09-27,36.1,43.1,8,6479.0,7434.0,1554.0,1554.0,Y,N,0.0,Labor Productivity
WO-00230,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Repair,Planned,Y,Apex Turnaround Services,2022-10-19,2022-10-24,2022-10-20,2022-10-25,78.60650906424786,77.4,9,7089.0,7001.0,1374.0,1374.0,Y,N,0.0,On Plan
WO-00231,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Inspection,Planned,N,Apex Turnaround Services,2022-09-29,2022-10-12,2022-09-29,2022-10-14,117.9,137.8,7,22281.0,25214.0,4900.0,4900.0,Y,N,0.0,Permit / Isolation Wait
WO-00232,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Cleaning,Planned,N,Northgate Industrial,2022-09-18,2022-09-24,2022-09-18,2022-09-24,68.5,66.3,12,11427.0,11704.0,2270.0,2841.0,N,N,0.0,On Plan
WO-00233,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Cleaning,Planned,N,Sterling TAR Contractors,2022-10-06,2022-10-21,2022-10-07,2022-10-26,284.3,367.2,4,49074.0,59179.0,14421.0,14421.0,Y,N,0.0,Labor Productivity
WO-00234,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Overhaul,Discovery,N,Delta Mechanical Ltd,2022-09-17,2022-09-21,2022-09-18,2022-09-25,43.3,76.3,2,5146.0,8887.0,486.0,676.0,N,N,0.0,Scope Growth / Discovery
WO-00235,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Inspection,Planned,N,Northgate Industrial,2022-10-05,2022-10-20,2022-10-06,2022-10-23,198.5,230.3,5,22162.0,25657.0,3769.0,4317.0,N,N,0.0,Material Delay
WO-00236,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Replacement,Planned,Y,Sterling TAR Contractors,2022-09-19,2022-09-26,2022-09-20,2022-09-27,125.21402045419407,115.7,7,18476.0,17345.0,3596.0,3596.0,Y,N,0.0,On Plan
WO-00237,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Overhaul,Planned,N,In-House Maintenance,2022-10-08,2022-10-13,2022-10-08,2022-10-14,45.9,54.6,7,8632.0,9843.0,2243.0,2243.0,Y,N,0.0,Permit / Isolation Wait
WO-00238,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Planned,N,Apex Turnaround Services,2022-09-12,2022-09-13,2022-09-12,2022-09-13,9.5,10.8,7,1808.0,2001.0,396.0,396.0,Y,N,0.0,Permit / Isolation Wait
WO-00239,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Repair,Planned,N,Northgate Industrial,2022-09-17,2022-10-04,2022-09-17,2022-10-04,200.7,198.4,11,16978.0,16816.0,2850.0,2850.0,Y,N,0.0,On Plan
WO-00240,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Inspection,Planned,N,Delta Mechanical Ltd,2022-09-21,2022-10-11,2022-09-22,2022-10-19,305.9,416.5,6,50370.0,63559.0,13891.0,13891.0,Y,N,0.0,Labor Productivity
WO-00241,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Emergent,N,Northgate Industrial,2022-10-04,2022-11-03,2022-10-05,2022-11-20,551.1,844.3,13,65259.0,91852.0,15274.0,15274.0,Y,N,0.0,Scope Growth / Discovery
WO-00242,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,In-House Maintenance,2022-10-01,2022-10-03,2022-10-01,2022-10-03,39.2,38.6,8,5496.0,5423.0,759.0,759.0,Y,N,0.0,On Plan
WO-00243,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Inspection,Discovery,N,Apex Turnaround Services,2022-10-18,2022-10-22,2022-10-19,2022-10-24,44.4,57.5,10,7837.0,9450.0,2370.0,2370.0,Y,N,0.0,Scope Growth / Discovery
WO-00244,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Discovery,N,Northgate Industrial,2022-09-19,2022-09-26,2022-09-19,2022-10-03,98.8,203.0,8,17023.0,32930.0,2571.0,3235.0,N,N,8.5,Scope Growth / Discovery
WO-00245,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Repair,Discovery,N,Apex Turnaround Services,2022-10-11,2022-10-16,2022-10-12,2022-10-21,76.3,132.8,3,10175.0,16876.0,2006.0,2659.0,N,N,0.0,Scope Growth / Discovery
WO-00246,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Cleaning,Discovery,N,Apex Turnaround Services,2022-09-27,2022-10-03,2022-09-27,2022-10-03,99.6,57.2,4,14669.0,8962.0,1264.0,1264.0,Y,N,0.0,On Plan
WO-00247,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Overhaul,Discovery,N,Sterling TAR Contractors,2022-09-25,2022-10-08,2022-09-25,2022-10-17,143.9,243.4,8,22334.0,36107.0,3984.0,5069.0,N,N,0.0,Scope Growth / Discovery
WO-00248,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Repair,Planned,N,Northgate Industrial,2022-10-06,2022-10-11,2022-10-07,2022-10-12,55.6,58.6,13,10084.0,10552.0,1407.0,1407.0,Y,N,0.0,Inspection Hold
WO-00249,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,N,Apex Turnaround Services,2022-09-21,2022-09-24,2022-09-22,2022-09-25,32.6,35.9,11,3686.0,4020.0,390.0,390.0,Y,N,0.0,Inspection Hold
WO-00250,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,N,In-House Maintenance,2022-09-24,2022-10-03,2022-09-25,2022-10-06,104.1,121.6,8,12771.0,14397.0,3098.0,3098.0,Y,N,0.0,Inspection Hold
WO-00251,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Replacement,Discovery,N,Northgate Industrial,2022-10-02,2022-10-11,2022-10-02,2022-10-22,92.1,199.7,10,18042.0,36043.0,3511.0,4536.0,N,N,0.0,Scope Growth / Discovery
WO-00252,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Overhaul,Emergent,N,Sterling TAR Contractors,2022-10-12,2022-10-14,2022-10-12,2022-10-16,19.9,43.7,10,3003.0,5923.0,725.0,920.0,N,N,0.0,Scope Growth / Discovery
WO-00253,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Inspection,Planned,N,Sterling TAR Contractors,2022-09-29,2022-10-02,2022-09-29,2022-10-02,51.9,55.7,5,8900.0,9510.0,574.0,574.0,Y,N,0.0,Labor Productivity
WO-00254,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Inspection,Planned,N,Northgate Industrial,2022-10-12,2022-10-27,2022-10-12,2022-10-29,156.9,173.9,9,21759.0,23430.0,6338.0,6338.0,Y,N,0.0,Labor Productivity
WO-00255,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Discovery,N,Delta Mechanical Ltd,2022-10-05,2022-10-09,2022-10-05,2022-10-16,76.5,216.6,2,9982.0,27277.0,555.0,584.0,N,N,0.0,Scope Growth / Discovery
WO-00256,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Inspection,Planned,N,Apex Turnaround Services,2022-10-19,2022-10-26,2022-10-20,2022-10-28,78.6,90.8,7,10231.0,11651.0,1084.0,1084.0,Y,N,0.0,Permit / Isolation Wait
WO-00257,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Replacement,Planned,N,Delta Mechanical Ltd,2022-09-26,2022-10-03,2022-09-26,2022-10-03,97.5,93.9,6,13351.0,12943.0,2293.0,2293.0,Y,N,0.0,On Plan
WO-00258,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Planned,N,Apex Turnaround Services,2022-10-19,2022-10-28,2022-10-19,2022-11-01,178.8,253.8,11,24991.0,32143.0,7941.0,7941.0,Y,N,0.0,Permit / Isolation Wait
WO-00259,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Discovery,N,Apex Turnaround Services,2022-10-05,2022-10-06,2022-10-05,2022-10-07,12.0,19.1,4,1348.0,2059.0,241.0,296.0,N,N,0.0,Scope Growth / Discovery
WO-00260,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Overhaul,Discovery,N,In-House Maintenance,2022-10-11,2022-10-20,2022-10-12,2022-10-27,173.2,289.2,4,29019.0,46543.0,2854.0,2854.0,Y,N,0.0,Scope Growth / Discovery
WO-00261,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Overhaul,Planned,N,Apex Turnaround Services,2022-10-11,2022-10-15,2022-10-11,2022-10-16,81.4,94.8,11,14402.0,16104.0,4062.0,4062.0,Y,N,0.0,Labor Productivity
WO-00262,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Inspection,Planned,N,Apex Turnaround Services,2022-10-01,2022-10-13,2022-10-01,2022-10-14,195.7,216.3,4,38571.0,41767.0,8208.0,8208.0,Y,N,0.0,Inspection Hold
WO-00263,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Cleaning,Discovery,N,In-House Maintenance,2022-09-12,2022-09-18,2022-09-12,2022-09-25,109.2,236.4,8,11799.0,24823.0,776.0,959.0,N,N,0.0,Scope Growth / Discovery
WO-00264,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Overhaul,Discovery,N,In-House Maintenance,2022-09-24,2022-10-29,2022-09-25,2022-11-28,311.0,564.9,10,47097.0,83375.0,2660.0,2660.0,Y,N,0.0,Scope Growth / Discovery
WO-00265,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Planned,N,In-House Maintenance,2022-10-03,2022-10-15,2022-10-03,2022-10-15,114.0,98.3,2,14120.0,12610.0,3155.0,3155.0,Y,N,0.0,On Plan
WO-00266,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,In-House Maintenance,2022-10-19,2022-10-24,2022-10-19,2022-10-24,71.4,72.6,2,9823.0,9966.0,1343.0,1343.0,Y,N,0.0,On Plan
WO-00267,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,Delta Mechanical Ltd,2022-09-19,2022-09-30,2022-09-20,2022-10-07,97.9,152.4,5,16233.0,23443.0,4836.0,5701.0,N,N,0.0,Material Delay
WO-00268,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Overhaul,Emergent,N,Delta Mechanical Ltd,2022-09-18,2022-09-20,2022-09-19,2022-09-23,32.7,69.6,12,2803.0,5430.0,516.0,562.0,N,N,0.0,Scope Growth / Discovery
WO-00269,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Overhaul,Planned,N,Apex Turnaround Services,2022-09-25,2022-10-02,2022-09-26,2022-10-04,135.4,148.9,9,21074.0,23086.0,894.0,894.0,Y,N,0.0,Permit / Isolation Wait
WO-00270,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,Apex Turnaround Services,2022-09-25,2022-10-09,2022-09-25,2022-10-11,138.0,155.9,13,18698.0,20979.0,1106.0,1106.0,Y,N,0.0,Labor Productivity
WO-00271,TAR-2022-FCC,Fluid Catalytic Cracker,Insulation,Cleaning,Planned,N,Northgate Industrial,2022-10-13,2022-10-15,2022-10-14,2022-10-16,29.1,25.9,5,3304.0,3096.0,1413.0,1413.0,Y,N,0.0,On Plan
WO-00272,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Discovery,N,In-House Maintenance,2022-09-30,2022-10-05,2022-10-01,2022-10-09,106.8,176.5,4,15740.0,25614.0,1385.0,1891.0,N,N,0.0,Scope Growth / Discovery
WO-00273,TAR-2022-FCC,Fluid Catalytic Cracker,Electrical,Inspection,Discovery,N,Delta Mechanical Ltd,2022-10-08,2022-12-24,2022-10-08,2023-03-15,787.5,1612.2,7,131350.0,235260.0,34789.0,37576.0,N,N,0.0,Scope Growth / Discovery
WO-00274,TAR-2022-FCC,Fluid Catalytic Cracker,Insulation,Repair,Planned,N,Sterling TAR Contractors,2022-10-01,2022-10-15,2022-10-01,2022-10-20,136.8,185.4,11,15216.0,18593.0,5710.0,5710.0,Y,Y,0.0,Rework / Quality
WO-00275,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Repair,Planned,N,Apex Turnaround Services,2022-09-30,2022-10-03,2022-10-01,2022-10-05,47.7,66.8,13,5373.0,7492.0,1796.0,2483.0,N,N,0.0,Material Delay
WO-00276,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Repair,Planned,N,Sterling TAR Contractors,2022-09-27,2022-10-12,2022-09-27,2022-10-18,209.7,297.6,9,37848.0,53390.0,4038.0,5408.0,N,N,0.0,Material Delay
WO-00277,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Planned,N,Delta Mechanical Ltd,2022-09-16,2022-09-28,2022-09-17,2022-10-08,117.8,204.8,8,22706.0,35559.0,5302.0,5302.0,Y,Y,0.0,Rework / Quality
WO-00278,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Planned,Y,Northgate Industrial,2022-10-05,2022-10-17,2022-10-06,2022-10-21,137.89828325971496,171.9,12,22345.0,27761.0,1795.0,2144.0,N,Y,0.0,Material Delay
WO-00279,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,Northgate Industrial,2022-10-15,2022-11-03,2022-10-16,2022-11-07,283.5,320.9,7,40322.0,44684.0,7258.0,7258.0,Y,N,0.0,Permit / Isolation Wait
WO-00280,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Inspection,Planned,N,In-House Maintenance,2022-09-28,2022-10-01,2022-09-28,2022-10-01,33.9,34.3,13,4698.0,4745.0,712.0,712.0,Y,N,0.0,On Plan
WO-00281,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Repair,Planned,N,Sterling TAR Contractors,2022-09-14,2022-09-16,2022-09-15,2022-09-18,32.3,51.8,11,2963.0,4357.0,653.0,653.0,Y,Y,0.0,Rework / Quality
WO-00282,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,Y,Northgate Industrial,2022-09-25,2022-09-28,2022-09-26,2022-09-29,55.03385492985278,56.3,3,6598.0,6727.0,997.0,997.0,Y,N,0.0,On Plan
WO-00283,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Discovery,N,Sterling TAR Contractors,2022-09-14,2022-09-16,2022-09-14,2022-09-18,32.1,63.6,13,5706.0,10069.0,1688.0,2108.0,N,N,0.0,Scope Growth / Discovery
WO-00284,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Inspection,Discovery,N,Northgate Industrial,2022-10-16,2022-10-18,2022-10-17,2022-10-20,38.7,51.4,2,4886.0,6314.0,1366.0,1639.0,N,N,0.0,Scope Growth / Discovery
WO-00285,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Repair,Planned,N,Delta Mechanical Ltd,2022-10-11,2022-10-27,2022-10-12,2022-11-03,143.3,196.4,5,25189.0,32292.0,6020.0,6020.0,Y,N,0.0,Permit / Isolation Wait
WO-00286,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Inspection,Planned,N,In-House Maintenance,2022-10-04,2022-10-09,2022-10-05,2022-10-10,48.4,51.3,7,5570.0,5854.0,830.0,830.0,Y,N,0.0,Inspection Hold
WO-00287,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Discovery,N,Northgate Industrial,2022-10-08,2022-10-17,2022-10-09,2022-10-24,131.0,224.0,8,21970.0,34769.0,6511.0,8334.0,N,Y,0.0,Scope Growth / Discovery
WO-00288,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Planned,N,Sterling TAR Contractors,2022-09-27,2022-10-10,2022-09-27,2022-10-12,124.2,144.0,8,18563.0,22026.0,6174.0,7662.0,N,N,3.0,Material Delay
WO-00289,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Overhaul,Discovery,N,In-House Maintenance,2022-09-24,2022-09-26,2022-09-25,2022-09-29,32.2,62.4,9,3734.0,6254.0,1412.0,1755.0,N,N,0.0,Scope Growth / Discovery
WO-00290,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Inspection,Discovery,N,In-House Maintenance,2022-10-16,2022-10-22,2022-10-16,2022-10-26,55.3,90.3,13,9246.0,14511.0,2177.0,2968.0,N,N,0.0,Scope Growth / Discovery
WO-00291,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Cleaning,Planned,N,In-House Maintenance,2022-10-10,2022-10-14,2022-10-10,2022-10-14,70.0,74.5,3,11757.0,12402.0,1732.0,1732.0,Y,N,0.0,Labor Productivity
WO-00292,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Inspection,Planned,N,Delta Mechanical Ltd,2022-10-02,2022-10-20,2022-10-02,2022-10-25,192.5,251.3,2,34164.0,43547.0,3445.0,3445.0,Y,N,0.0,Inspection Hold
WO-00293,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Overhaul,Planned,N,Sterling TAR Contractors,2022-09-24,2022-10-13,2022-09-24,2022-10-13,179.6,152.5,12,31825.0,28103.0,7156.0,7156.0,Y,N,0.0,On Plan
WO-00294,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Replacement,Planned,N,Northgate Industrial,2022-10-11,2022-10-15,2022-10-11,2022-10-15,67.7,72.3,8,12754.0,13477.0,2110.0,2110.0,Y,N,0.0,Inspection Hold
WO-00295,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Inspection,Discovery,N,Northgate Industrial,2022-10-08,2022-11-04,2022-10-09,2022-11-08,307.0,343.0,5,47493.0,51662.0,11935.0,11935.0,Y,N,0.0,Scope Growth / Discovery
WO-00296,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Repair,Planned,Y,Sterling TAR Contractors,2022-10-19,2022-10-31,2022-10-19,2022-11-02,224.86171771912896,260.4,2,42484.0,47617.0,10002.0,10002.0,Y,N,0.0,Inspection Hold
WO-00297,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,Sterling TAR Contractors,2022-09-19,2022-09-28,2022-09-20,2022-09-30,142.3,164.7,5,19559.0,22362.0,1748.0,1748.0,Y,N,0.0,Labor Productivity
WO-00298,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Replacement,Planned,N,In-House Maintenance,2022-10-14,2022-10-29,2022-10-14,2022-11-01,139.2,168.2,13,21087.0,25081.0,1913.0,1913.0,Y,N,0.0,Inspection Hold
WO-00299,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Cleaning,Planned,N,Delta Mechanical Ltd,2022-10-09,2022-10-10,2022-10-10,2022-10-12,7.5,17.9,8,1312.0,2935.0,152.0,167.0,N,Y,0.0,Material Delay
WO-00300,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Cleaning,Planned,N,Delta Mechanical Ltd,2022-10-03,2022-10-11,2022-10-03,2022-10-11,67.0,66.0,13,11775.0,11648.0,3283.0,3283.0,Y,N,0.0,On Plan
WO-00301,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Replacement,Planned,N,In-House Maintenance,2022-10-07,2022-10-11,2022-10-08,2022-10-12,47.3,52.4,9,6003.0,6606.0,416.0,416.0,Y,N,0.0,Permit / Isolation Wait
WO-00302,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,N,Sterling TAR Contractors,2022-09-17,2022-09-21,2022-09-17,2022-09-23,67.5,94.6,9,9253.0,11780.0,2961.0,2961.0,Y,Y,0.0,Rework / Quality
WO-00303,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Planned,N,Northgate Industrial,2022-10-02,2022-10-20,2022-10-02,2022-10-20,155.8,143.8,6,19075.0,17893.0,3730.0,3730.0,Y,N,0.0,On Plan
WO-00304,TAR-2022-FCC,Fluid Catalytic Cracker,Civil,Overhaul,Planned,Y,Delta Mechanical Ltd,2022-10-19,2022-10-25,2022-10-20,2022-10-30,100.82503781049485,162.1,3,10796.0,16348.0,3069.0,3926.0,N,N,0.0,Material Delay
WO-00305,TAR-2022-FCC,Fluid Catalytic Cracker,Electrical,Replacement,Discovery,Y,Sterling TAR Contractors,2022-10-13,2022-10-16,2022-10-13,2022-10-18,37.99753085467153,67.0,7,6532.0,10247.0,1948.0,2164.0,N,N,0.0,Scope Growth / Discovery
WO-00306,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Overhaul,Planned,N,Apex Turnaround Services,2022-09-22,2022-10-01,2022-09-23,2022-10-05,121.9,166.0,7,18389.0,24570.0,1305.0,1305.0,Y,N,0.0,Labor Productivity
WO-00307,TAR-2022-FCC,Fluid Catalytic Cracker,Valves,Inspection,Discovery,N,Apex Turnaround Services,2022-09-12,2022-09-20,2022-09-12,2022-09-25,73.2,118.0,6,9410.0,14403.0,1251.0,1251.0,Y,N,0.0,Scope Growth / Discovery
WO-00308,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Cleaning,Planned,N,Sterling TAR Contractors,2022-09-15,2022-09-23,2022-09-15,2022-09-28,68.7,113.9,3,11025.0,17719.0,1586.0,2070.0,N,Y,0.0,Material Delay
WO-00309,TAR-2022-FCC,Fluid Catalytic Cracker,Inspection/NDT,Inspection,Planned,N,Northgate Industrial,2022-09-13,2022-09-20,2022-09-13,2022-09-20,109.8,109.9,9,19098.0,19114.0,1354.0,1354.0,Y,N,0.0,On Plan
WO-00310,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,N,In-House Maintenance,2022-09-24,2022-09-30,2022-09-24,2022-10-01,92.1,113.8,3,9168.0,11192.0,577.0,577.0,Y,Y,0.0,Rework / Quality
WO-00311,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Static/Vessels),Repair,Planned,N,Apex Turnaround Services,2022-10-11,2022-10-13,2022-10-12,2022-10-15,18.4,23.0,13,2970.0,3539.0,697.0,697.0,Y,N,0.0,Permit / Isolation Wait
WO-00312,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Repair,Discovery,N,In-House Maintenance,2022-10-18,2022-10-25,2022-10-18,2022-11-02,108.6,226.3,9,18467.0,35115.0,3858.0,4672.0,N,N,0.0,Scope Growth / Discovery
WO-00313,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Planned,N,Sterling TAR Contractors,2022-10-07,2022-10-08,2022-10-08,2022-10-10,17.4,26.5,9,2053.0,2955.0,328.0,328.0,Y,Y,0.0,Rework / Quality
WO-00314,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Inspection,Planned,N,Delta Mechanical Ltd,2022-10-17,2022-10-21,2022-10-17,2022-10-22,72.9,99.2,8,7148.0,9339.0,1851.0,2131.0,N,N,0.0,Material Delay
WO-00315,TAR-2022-FCC,Fluid Catalytic Cracker,Instrumentation,Repair,Planned,N,In-House Maintenance,2022-09-17,2022-09-25,2022-09-17,2022-09-26,104.3,118.9,7,16188.0,18019.0,3107.0,3107.0,Y,N,0.0,Permit / Isolation Wait
WO-00316,TAR-2022-FCC,Fluid Catalytic Cracker,Insulation,Repair,Planned,N,Delta Mechanical Ltd,2022-09-13,2022-09-15,2022-09-13,2022-09-15,38.4,47.9,6,4507.0,5901.0,1995.0,2768.0,N,N,0.0,Material Delay
WO-00317,TAR-2022-FCC,Fluid Catalytic Cracker,Scaffolding,Overhaul,Planned,N,Apex Turnaround Services,2022-09-14,2022-09-19,2022-09-14,2022-09-19,92.0,98.8,2,10828.0,11309.0,4331.0,4331.0,Y,N,0.0,Labor Productivity
WO-00318,TAR-2022-FCC,Fluid Catalytic Cracker,Mechanical (Rotating),Inspection,Planned,N,Northgate Industrial,2022-10-11,2022-10-14,2022-10-12,2022-10-15,66.7,73.7,5,12122.0,13160.0,2233.0,2233.0,Y,Y,0.0,Rework / Quality
WO-00319,TAR-2022-FCC,Fluid Catalytic Cracker,Insulation,Overhaul,Discovery,N,Apex Turnaround Services,2022-09-30,2022-10-20,2022-09-30,2022-11-06,321.6,588.1,12,26159.0,45078.0,3330.0,3330.0,Y,N,0.0,Scope Growth / Discovery
WO-00320,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Overhaul,Discovery,N,Apex Turnaround Services,2022-10-10,2022-10-18,2022-10-11,2022-10-26,99.5,189.1,2,11209.0,20475.0,1495.0,2013.0,N,N,0.0,Scope Growth / Discovery
WO-00321,TAR-2022-FCC,Fluid Catalytic Cracker,Piping,Repair,Emergent,N,Apex Turnaround Services,2022-09-29,2022-10-01,2022-09-30,2022-10-02,38.1,42.7,11,5474.0,6297.0,1586.0,1940.0,N,N,0.0,Scope Growth / Discovery
